PrototypeSet,Pair,Variable,r,p,N
LayFormal,mpnet × bge,rehabilitation,0.6887373328208923,5.3215579213612634e-71,496
LayFormal,mpnet × bge,retribution,0.7717092037200928,3.684503549826444e-99,496
LayFormal,mpnet × bge,revenge,0.6403305530548096,1.3913206509385907e-58,496
LayFormal,mpnet × bge,suffering,0.7552363276481628,1.115543603036779e-92,496
LayFormal,mpnet × bge,exclusion,0.7018230557441711,8.683598907203593e-75,496
LayFormal,mpnet × bge,pro_minus_dark,0.646963357925415,3.760002696612924e-60,496
LayFormal,mpnet × voyage,deterrence,0.6082246574007685,1.648604455046475e-51,496
LayFormal,mpnet × voyage,incapacitation,0.7518034534853226,2.1553424680698954e-91,496
LayFormal,mpnet × voyage,rehabilitation,0.7285047729554918,3.4320274332925874e-83,496
LayFormal,mpnet × voyage,retribution,0.7550010750695573,1.3687304448546668e-92,496
LayFormal,mpnet × voyage,revenge,0.5592140386595853,3.7787428040724105e-42,496
LayFormal,mpnet × voyage,suffering,0.770586431093436,1.0599564734737063e-98,496
LayFormal,mpnet × voyage,exclusion,0.7200067735317293,2.0801665237185753e-80,496
LayFormal,mpnet × voyage,pro_minus_dark,0.5803074316133845,5.52952342264355e-46,496
LayFormal,bge × voyage,deterrence,0.47274556601674356,5.543519937635776e-29,496
LayFormal,bge × voyage,incapacitation,0.7187316485887945,5.329949098629767e-80,496
LayFormal,bge × voyage,rehabilitation,0.7320521271724758,2.200614315886716e-84,496
LayFormal,bge × voyage,retribution,0.7035785839517741,2.5988285657625725e-75,496
LayFormal,bge × voyage,revenge,0.5603135113946015,2.4222293448655228e-42,496
LayFormal,bge × voyage,suffering,0.7017004077173286,9.443661116857879e-75,496
LayFormal,bge × voyage,exclusion,0.7648862361224971,2.0670423740003195e-96,496
LayFormal,bge × voyage,pro_minus_dark,0.6155669467193094,4.689655895075252e-53,496
AntiTaut,mpnet × bge,deterrence,0.5753841996192932,4.599063774265941e-45,496
AntiTaut,mpnet × bge,incapacitation,0.6685145497322083,1.580950633208349e-65,496
AntiTaut,mpnet × bge,rehabilitation,0.6442015171051025,1.7096849926374002e-59,496
AntiTaut,mpnet × bge,retribution,0.6412578821182251,8.443058743297794e-59,496
AntiTaut,mpnet × bge,revenge,0.6200875639915466,4.998433563231543e-54,496
AntiTaut,mpnet × bge,suffering,0.5749056339263916,5.639701456349125e-45,496
AntiTaut,mpnet × bge,exclusion,0.548470675945282,2.67393593214327e-40,496
AntiTaut,mpnet × bge,pro_minus_dark,0.6238208413124084,7.653467516219783e-55,496
AntiTaut,mpnet × voyage,deterrence,0.6048515487197572,8.20172560576521e-51,496
AntiTaut,mpnet × voyage,incapacitation,0.5381571311939635,1.3838127116804772e-38,496
AntiTaut,mpnet × voyage,rehabilitation,0.6241590993600484,6.4484413650958654e-55,496
AntiTaut,mpnet × voyage,retribution,0.5212803632784447,6.625572955262494e-36,496
AntiTaut,mpnet × voyage,revenge,0.40714617083112736,3.1525077744142683e-21,496
AntiTaut,mpnet × voyage,suffering,0.30568514879495395,3.451527092656204e-12,496
AntiTaut,mpnet × voyage,exclusion,0.5643475398981066,4.6707818527110456e-43,496
AntiTaut,mpnet × voyage,pro_minus_dark,0.5647865854736367,3.899396423936222e-43,496
AntiTaut,bge × voyage,deterrence,0.563963975541256,5.467384894693966e-43,496
AntiTaut,bge × voyage,incapacitation,0.5612184460153681,1.6776975978314675e-42,496
AntiTaut,bge × voyage,rehabilitation,0.6073013887392967,2.5625242814671607e-51,496
AntiTaut,bge × voyage,retribution,0.5757240121731122,3.977953801729885e-45,496
AntiTaut,bge × voyage,revenge,0.43306342034945,4.3168210830256795e-24,496
AntiTaut,bge × voyage,suffering,0.44437648707271027,2.0206470911303294e-25,496
AntiTaut,bge × voyage,exclusion,0.5689807145004927,6.857772688412305e-44,496
AntiTaut,bge × voyage,pro_minus_dark,0.5337107070045142,7.276224450000631e-38,496
