PrototypeSet,Model,B3,B3_Description,PctCloserToDark,MeanDiff,SDDiff,CI95Lo,CI95Hi,N
LayFormal,BGE-large (2024),b3a,4 pro vs 3 dark,70.56451612903226,-0.013369562104344368,0.025506319478154182,-0.015614286508942362,-0.011124837699746374,496
LayFormal,BGE-large (2024),b3b,retrib removed,87.5,-0.030620478093624115,0.028603030368685722,-0.033137733488666034,-0.028103222698582196,496
LayFormal,BGE-large (2024),b3c,retrib as dark,91.73387096774194,-0.04021627828478813,0.027468355372548103,-0.04263367479359212,-0.037798881775984144,496
LayFormal,voyage-4 (2026),b3a,4 pro vs 3 dark,33.266129032258064,0.012427434267495176,0.03400271406662494,0.009434971079958719,0.015419897455031634,496
LayFormal,voyage-4 (2026),b3b,retrib removed,46.774193548387096,0.0029850831739504755,0.042342936163626416,-0.0007413745868501249,0.006711540934751075,496
LayFormal,voyage-4 (2026),b3c,retrib as dark,56.451612903225815,-0.007203538713081847,0.044692483715955675,-0.011136772160786007,-0.0032703052653776862,496
AntiTaut,mpnet (2021),b3a,4 pro vs 3 dark,30.64516129032258,0.020334377884864807,0.037436529994010925,0.01703971623942452,0.023629039530305096,496
AntiTaut,mpnet (2021),b3b,retrib removed,38.70967741935484,0.017017899081110954,0.0448341928422451,0.013072194295297483,0.020963603866924425,496
AntiTaut,mpnet (2021),b3c,retrib as dark,47.78225806451613,0.009446945041418076,0.045320916920900345,0.005458405325280823,0.013435484757555329,496
AntiTaut,BGE-large (2024),b3a,4 pro vs 3 dark,50.60483870967742,-0.0013562885578721762,0.02643525041639805,-0.0036827650141155696,0.0009701878983712172,496
AntiTaut,BGE-large (2024),b3b,retrib removed,60.88709677419355,-0.005066107027232647,0.030790308490395546,-0.007775857328631028,-0.0023563567258342655,496
AntiTaut,BGE-large (2024),b3c,retrib as dark,64.71774193548387,-0.0075093964114785194,0.030384264886379242,-0.01018341219665056,-0.004835380626306478,496
AntiTaut,voyage-4 (2026),b3a,4 pro vs 3 dark,15.524193548387096,0.03423808941654515,0.033888295791036985,0.03125569579219143,0.03722048304089887,496
AntiTaut,voyage-4 (2026),b3b,retrib removed,14.31451612903226,0.0463980392238144,0.04681982286625612,0.042277585894714725,0.050518492552914074,496
AntiTaut,voyage-4 (2026),b3c,retrib as dark,17.137096774193548,0.04695847922513006,0.05213183983457295,0.04237053335416709,0.05154642509609302,496
