"TextFeature","PsychMeasure","r","p","N","sig"
"mpnet pro−dark gap","RWA",0.04,0.376157302385937,496,""
"BGE pro−dark gap","Suffering",-0.038,0.400866408990273,496,""
"BGE pro−dark gap","Hostile Aggression",-0.037,0.411082518241226,496,""
"mpnet pro−dark gap","Hatred",0.037,0.413346245813492,496,""
"voyage pro−dark gap","Hatred",-0.036,0.426214027819454,496,""
"mpnet pro−dark gap","Hostile Aggression",-0.034,0.447831125835507,496,""
"BGE pro−dark gap","RWA",0.034,0.454842823778681,496,""
"BGE pro−dark gap","Hatred",0.031,0.493703444996182,496,""
"BGE revenge sim","Revenge",0.031,0.487958649435737,496,""
"mpnet pro−dark gap","Exclusion",0.03,0.505896619435064,496,""
"mpnet pro−dark gap","Suffering",-0.027,0.548836312409375,496,""
"BGE suffering sim","Hatred",-0.026,0.557840307268743,496,""
"BGE suffering sim","Punitiveness",-0.025,0.58284497484746,496,""
"BGE suffering sim","Hostile Aggression",-0.025,0.574116426774806,496,""
"BGE pro−dark gap","Exclusion",0.025,0.575214588374694,496,""
"Word count","Suffering",-0.023,0.611824084690116,496,""
"BGE revenge sim","Suffering",0.023,0.609237753979432,496,""
"voyage pro−dark gap","Crime Concerns",0.022,0.620954740531044,496,""
"VADER compound","Revenge",-0.022,0.626799830005599,496,""
"BGE suffering sim","Crime Concerns",-0.02,0.657090033836535,496,""
"BGE pro−dark gap","Crime Concerns",0.018,0.682667961595496,496,""
"Word count","RWA",-0.016,0.725791566133665,496,""
"Word count","Exclusion",-0.015,0.733258195007163,496,""
"BGE revenge sim","Hatred",-0.014,0.762491411029727,496,""
"BGE suffering sim","Suffering",-0.014,0.754881932869499,496,""
"BGE suffering sim","Revenge",0.012,0.798041185544902,496,""
"Word count","Hatred",-0.01,0.82724684636787,496,""
"BGE suffering sim","Racial Resentment",-0.009,0.850015529701458,496,""
"BGE revenge sim","Punitiveness",0.008,0.852775356966345,496,""
"voyage pro−dark gap","Exclusion",-0.007,0.872790430461415,496,""
"BGE revenge sim","Hostile Aggression",-0.006,0.898437247385144,496,""
"Dictionary pro−dark","RWA",0.005,0.904284457402565,496,""
"BGE revenge sim","Racial Resentment",0.001,0.986463631445583,496,""
