"Empath_lexicon","Target","n","r","p_raw","p_FDR","Sig_FDR"
"help","Racial Resentment",496,-0.003,0.949971845671201,0.971955377832443,""
"government","Punitiveness",496,0.029,0.519606700606269,0.714506351723894,""
"government","Hostile Aggression",496,-0.048,0.285131521822226,0.528624597407196,""
"government","Crime Concerns",496,-0.088,0.0494889125391395,0.377933873115613,""
"government","RWA",496,-0.118,0.00880346130722304,0.1144449969939,""
"government","Racial Resentment",496,-0.009,0.849086433700159,0.919843636508506,""
"law","Punitiveness",496,0.002,0.968666138959778,0.968666138959778,""
"law","Hostile Aggression",496,-0.005,0.917142253232037,0.951225769388169,""
"law","Crime Concerns",496,-0.141,0.00161526890135902,0.0419969914353346,"*"
"law","RWA",496,-0.096,0.0318856332136288,0.163236031256742,""
"law","Racial Resentment",496,0.057,0.202980844477811,0.351833463761539,""
"order","Punitiveness",496,0.008,0.861850791644544,0.968666138959778,""
"order","Hostile Aggression",496,0.026,0.560633366788401,0.767182501920969,""
"order","Crime Concerns",496,0.048,0.284957536392494,0.688480308123818,""
"order","RWA",496,0.046,0.306195898536519,0.497568335121843,""
"order","Racial Resentment",496,0.017,0.703104755417824,0.794814071341887,""
"power","Punitiveness",496,-0.035,0.431458216519805,0.659877272324408,""
"power","Hostile Aggression",496,0.003,0.951225769388169,0.951225769388169,""
"power","Crime Concerns",496,0.047,0.293744774245698,0.688480308123818,""
"power","RWA",496,0.04,0.378153861072958,0.512044552128154,""
"power","Racial Resentment",496,0.002,0.971955377832443,0.971955377832443,""
"family","Punitiveness",496,0.004,0.934562561186278,0.968666138959778,""
"family","Hostile Aggression",496,0.055,0.217371021285517,0.434742042571035,""
"family","Crime Concerns",496,0.126,0.0048125685356664,0.0625633909636632,""
"family","RWA",496,0.052,0.247860085854497,0.429624148814462,""
"family","Racial Resentment",496,0.043,0.344786790902231,0.527320974321059,""
"children","Punitiveness",496,0.157,0.000434132624217781,0.00282186205741558,"**"
"children","Hostile Aggression",496,0.085,0.058407378862053,0.168732427823709,""
"children","Crime Concerns",496,0.017,0.705196142208182,0.916754984870636,""
"children","RWA",496,0.036,0.419075005436928,0.518854768636197,""
"children","Racial Resentment",496,0.09,0.0459436392488207,0.170647802924191,""
"healing","Punitiveness",496,-0.062,0.168874436108714,0.328057420475412,""
"healing","Hostile Aggression",496,-0.133,0.00289702542220272,0.0377349311424835,"*"
"healing","Crime Concerns",496,0.022,0.620794275659672,0.896702842619527,""
"healing","RWA",496,-0.08,0.0736840074464885,0.212864910400967,""
"healing","Racial Resentment",496,-0.097,0.0315361005737747,0.13665643581969,""
"prison","Punitiveness",496,0.059,0.192442582583891,0.33356714314541,""
"prison","Hostile Aggression",496,0.057,0.204397233539395,0.434742042571035,""
"prison","Crime Concerns",496,0,0.998243441084992,0.998243441084992,""
"prison","RWA",496,0.044,0.326040155214789,0.49864964915203,""
"prison","Racial Resentment",496,0.113,0.0115316668689362,0.0599646677184682,""
